t_s,Px_mm,Py_mm,Pz_mm,b1_mm,b2_mm,b3_mm,b1_mm_s,b2_mm_s,b3_mm_s,b1_mm_s2,b2_mm_s2,b3_mm_s2,thetaC1_deg,thetaD1_deg,thetaC2_deg,thetaD2_deg,thetaC3_deg,thetaD3_deg
0.36,0.0,-38.704,0.0,100.0,61.296,100.0,0.0,7.199999999999999,0.0,0.0,20.0,0.0,65.20539103184359,-65.20539103184359,59.99999999999999,-59.99999999999999,50.41065533042206,-68.7327073754196
0.37,0.0,-38.631,0.0,100.0,61.369,100.0,0.0,7.4,0.0,0.0,20.0,0.0,65.19579210283251,-65.19579210283251,59.99999999999999,-59.99999999999999,50.42924928694086,-68.71732826930375
0.38,0.0,-38.556,0.0,100.0,61.444,100.0,0.0,7.6,0.0,0.0,20.0,0.0,65.1859294153724,-65.1859294153724,59.99999999999999,-59.99999999999999,50.4483512472532,-68.7015230209681
0.39,0.0,-38.479,0.0,100.0,61.521,100.0,0.0,7.800000000000001,0.0,0.0,20.0,0.0,65.17580290620006,-65.17580290620006,59.99999999999999,-59.99999999999999,50.4679610928321,-68.68529124427783
0.4,0.0,-38.4,0.0,100.0,61.6,100.0,0.0,8.0,0.0,0.0,20.0,0.0,65.16541251029841,-65.16541251029841,59.99999999999999,-59.99999999999999,50.488078701532494,-68.66863254317703
0.41000000000000003,0.0,-38.319,0.0,100.0,61.681,100.0,0.0,8.200000000000001,0.0,0.0,20.0,0.0,65.1547581608912,-65.1547581608912,59.99999999999999,-59.99999999999999,50.50870394755491,-68.6515465117188
0.42,0.0,-38.236,0.0,100.0,61.764,100.0,0.0,8.4,0.0,0.0,20.0,0.0,65.14383978943746,-65.14383978943746,59.99999999999999,-59.99999999999999,50.52983670140801,-68.63403273409632
0.43,0.0,-38.151,0.0,100.0,61.849,100.0,0.0,8.6,0.0,0.0,20.0,0.0,65.13265732562589,-65.13265732562589,59.99999999999999,-59.99999999999999,50.55147682987025,-68.61609078467467
0.44,0.0,-38.064,0.0,100.0,61.936,100.0,0.0,8.8,0.0,0.0,20.0,0.0,65.12121069736914,-65.12121069736914,59.99999999999999,-59.99999999999999,50.57362419595063,-68.59772022802352
0.45,0.0,-37.975,0.0,100.0,62.025,100.0,0.0,9.0,0.0,0.0,20.0,0.0,65.10949983079777,-65.10949983079777,59.99999999999999,-59.99999999999999,50.596278658848185,-68.5789206189507
0.46,0.0,-37.884,0.0,100.0,62.116,100.0,0.0,9.200000000000001,0.0,0.0,20.0,0.0,65.09752465025429,-65.09752465025429,59.99999999999999,-59.99999999999999,50.619440073910845,-68.55969150253674
0.47000000000000003,0.0,-37.791,0.0,100.0,62.209,100.0,0.0,9.4,0.0,0.0,20.0,0.0,65.08528507828686,-65.08528507828686,59.99999999999999,-59.99999999999999,50.64310829259302,-68.54003241416999
0.48,0.0,-37.696,0.0,100.0,62.304,100.0,0.0,9.6,0.0,0.0,20.0,0.0,65.07278103564293,-65.07278103564293,59.99999999999999,-59.99999999999999,50.667283162412296,-68.51994287958296
0.49,0.0,-37.599000000000004,0.0,100.0,62.400999999999996,100.0,0.0,9.8,0.0,0.0,20.0,0.0,65.06001244126271,-65.06001244126271,59.99999999999999,-59.99999999999999,50.69196452690511,-68.4994224148893
0.5,0.0,-37.5,0.0,100.0,62.5,100.0,0.0,10.0,0.0,0.0,20.0,0.0,65.0469792122725,-65.0469792122725,59.99999999999999,-59.99999999999999,50.7171522255815,-68.47847052662175
0.51,0.0,-37.399,0.0,100.0,62.601,100.0,0.0,10.2,0.0,0.0,20.0,0.0,65.03368126397788,-65.03368126397788,59.99999999999999,-59.99999999999999,50.74284609387868,-68.45708671177104
0.52,0.0,-37.296,0.0,100.0,62.704,100.0,0.0,10.4,0.0,0.0,20.0,0.0,65.02011850985666,-65.02011850985666,59.99999999999999,-59.99999999999999,50.769045963113804,-68.43527045782552
0.53,0.0,-37.191,0.0,100.0,62.809,100.0,0.0,10.600000000000001,0.0,0.0,20.0,0.0,65.0062908615518,-65.0062908615518,59.99999999999999,-59.99999999999999,50.79575166043551,-68.41302124281194
0.54,0.0,-37.084,0.0,100.0,62.916,100.0,0.0,10.8,0.0,0.0,20.0,0.0,64.99219822886407,-64.99219822886407,59.99999999999999,-59.99999999999999,50.822963008774735,-68.39033853533682
0.55,0.0,-36.975,0.0,100.0,63.025,100.0,0.0,11.0,0.0,0.0,20.0,0.0,64.97784051974463,-64.97784051974463,59.99999999999999,-59.99999999999999,50.85067982679414,-68.36722179462909
0.56,0.0,-36.864,0.0,100.0,63.136,100.0,0.0,11.200000000000001,0.0,0.0,20.0,0.0,64.9632176402874,-64.9632176402874,59.99999999999999,-59.99999999999999,50.87890192883686,-68.34367047058333
0.5700000000000001,0.0,-36.751,0.0,100.0,63.249,100.0,0.0,11.400000000000002,0.0,0.0,20.0,0.0,64.94832949472134,-64.94832949472134,59.99999999999999,-59.99999999999999,50.90762912487398,-68.31968400380423
0.58,0.0,-36.636,0.0,100.0,63.364,100.0,0.0,11.6,0.0,0.0,20.0,0.0,64.9331759854024,-64.9331759854024,59.99999999999999,-59.99999999999999,50.9368612204512,-68.29526182565162
0.59,0.0,-36.519,0.0,100.0,63.481,100.0,0.0,11.799999999999999,0.0,0.0,20.0,0.0,64.91775701280564,-64.91775701280564,59.99999999999999,-59.99999999999999,50.96659801663427,-68.27040335828687
0.6,0.0,-36.4,0.0,100.0,63.6,100.0,0.0,12.0,0.0,0.0,20.0,0.0,64.90207247551676,-64.90207247551676,59.99999999999999,-59.99999999999999,50.99683930995351,-68.24510801471989
0.61,0.0,-36.278999999999996,0.0,100.0,63.721000000000004,100.0,0.0,12.2,0.0,0.0,20.0,0.0,64.88612227022386,-64.88612227022386,59.99999999999999,-59.99999999999999,51.02758489234725,-68.21937519885721
0.62,0.0,-36.156,0.0,100.0,63.844,100.0,0.0,12.4,0.0,0.0,20.0,0.0,64.8699062917088,-64.8699062917088,59.99999999999999,-59.99999999999999,51.05883455110428,-68.19320430555108
0.63,0.0,-36.031,0.0,100.0,63.969,100.0,0.0,12.6,0.0,0.0,20.0,0.0,64.85342443283847,-64.85342443283847,59.99999999999999,-59.99999999999999,51.090588068805246,-68.16659472064941
0.64,0.0,-35.903999999999996,0.0,100.0,64.096,100.0,0.0,12.8,0.0,0.0,20.0,0.0,64.8366765845559,-64.8366765845559,59.99999999999999,-59.99999999999999,51.122845223262864,-68.13954582104671
0.65,0.0,-35.775,0.0,100.0,64.225,100.0,0.0,13.0,0.0,0.0,20.0,0.0,64.81966263587117,-64.81966263587117,59.99999999999999,-59.99999999999999,51.15560578746133,-68.11205697473616
