t_s,Px_mm,Py_mm,Pz_mm,b1_mm,b2_mm,b3_mm,b1_mm_s,b2_mm_s,b3_mm_s,b1_mm_s2,b2_mm_s2,b3_mm_s2,thetaC1_deg,thetaD1_deg,thetaC2_deg,thetaD2_deg,thetaC3_deg,thetaD3_deg
1.3199999999999998,-46.8,0.0,0.0,53.2,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.2654411369897,-66.2654411369897,66.2654411369897,-66.2654411369897
1.3499999999999999,-46.5,0.0,0.0,53.5,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.22631675457572,-66.22631675457572,66.22631675457572,-66.22631675457572
1.38,-46.2,0.0,0.0,53.8,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.18718060008806,-66.18718060008806,66.18718060008806,-66.18718060008806
1.41,-45.9,0.0,0.0,54.10000000000001,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.148032644618,-66.148032644618,66.148032644618,-66.148032644618
1.44,-45.6,0.0,0.0,54.39999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.10887285919124,-66.10887285919124,66.10887285919124,-66.10887285919124
1.47,-45.3,0.0,0.0,54.7,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.06970121476753,-66.06970121476753,66.06970121476753,-66.06970121476753
1.5,-45.0,0.0,0.0,55.0,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.03051768224046,-66.03051768224046,66.03051768224046,-66.03051768224046
1.53,-44.7,0.0,0.0,55.3,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.99132223243713,-65.99132223243713,65.99132223243713,-65.99132223243713
1.56,-44.4,0.0,0.0,55.60000000000001,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.95211483611797,-65.95211483611797,65.95211483611797,-65.95211483611797
1.5899999999999999,-44.1,0.0,0.0,55.89999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.91289546397644,-65.91289546397644,65.91289546397644,-65.91289546397644
1.6199999999999999,-43.8,0.0,0.0,56.2,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.87366408663873,-65.87366408663873,65.87366408663873,-65.87366408663873
1.65,-43.5,0.0,0.0,56.5,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.83442067466356,-65.83442067466356,65.83442067466356,-65.83442067466356
1.68,-43.2,0.0,0.0,56.8,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.79516519854181,-65.79516519854181,65.79516519854181,-65.79516519854181
1.71,-42.9,0.0,0.0,57.10000000000001,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.75589762869637,-65.75589762869637,65.75589762869637,-65.75589762869637
1.74,-42.6,0.0,0.0,57.39999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.71661793548182,-65.71661793548182,65.71661793548182,-65.71661793548182
1.77,-42.3,0.0,0.0,57.7,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.67732608918408,-65.67732608918408,65.67732608918408,-65.67732608918408
1.7999999999999998,-42.0,0.0,0.0,58.0,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.63802206002022,-65.63802206002022,65.63802206002022,-65.63802206002022
1.8299999999999998,-41.7,0.0,0.0,58.3,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.59870581813821,-65.59870581813821,65.59870581813821,-65.59870581813821
1.8599999999999999,-41.400000000000006,0.0,0.0,58.599999999999994,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.55937733361658,-65.55937733361658,65.55937733361658,-65.55937733361658
1.89,-41.1,0.0,0.0,58.89999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.52003657646414,-65.52003657646414,65.52003657646414,-65.52003657646414
1.92,-40.8,0.0,0.0,59.2,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.48068351661973,-65.48068351661973,65.48068351661973,-65.48068351661973
1.95,-40.5,0.0,0.0,59.5,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.44131812395194,-65.44131812395194,65.44131812395194,-65.44131812395194
1.98,-40.2,0.0,0.0,59.8,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.40194036825883,-65.40194036825883,65.40194036825883,-65.40194036825883
2.01,-39.900000000000006,0.0,0.0,60.099999999999994,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,65.36255021926759,-65.36255021926759,65.36255021926759,-65.36255021926759
